Title,Reference Number,Location,Closing Date,Remuneration,Duties,Enquiries,Minimum Educational Qualification,Employment Type
Nursing Assistant Grade 1 to 3 (First Stage Labour and Post Natal Wards) (3 Posts),MHS828/2025 Mowbray Maternity Hospital,Mowbray Maternity Hospital,1/9/2026,"Grade 1: R 174,261 per annum, Grade 2: R 203,271 per annum, Grade 3: R 239,559 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Assist patients with activities of daily living. To observe patients’ behaviour and actions in wards and in seclusion and provide elementary clinical nursing care. Maintain documentation and communication. Effective utilization of resources. Maintain professional growth/ethical standards and self-development. Actively participating in in-service training interventions.,"Ms C Hammond-Rudimuldu, tel. no. (021) 659 4908",Qualification that allows registration with the SANC as a Nursing Assistant.,Permanent Reference No: MHS828/2025 Mowbray Maternity Hospital
Manager: Medical Services Grade 1,"GRD200/2025 Harry Comay Hospital, George Sub District & Uniondale Hospital, Garden Route District","Harry Comay Hospital, George Sub District & Uniondale Hospital, Garden Route District",1/9/2026,Grade 1: R 1 422 810 - R 1 576 977 per annum A portion of the package can be structured according to the individual's personal needs.,"Strategic and operational management of all health service platforms at Harry Comay Hospital , George Primary Health Care Services and Uniondale Hospital. Ensure safe clinical services and practices that comply with professional laws of the country and compatible with acceptable clinical practices. Set up systems to manage quality assurance in the Sub District to ensure support of the patient centred experience, compliance to national core standards, Ideal clinic standards and improved information management. Provide operational support to the office of the Director by effective and efficient use of allocated human, financial, infrastructure and health technology resources and to support service delivery of all the health service platforms in the Sub District. Develop internal and external key partnerships in the sub-district to ensure a WOSA to address the BoD and move to a wellness approach.","Ms H Le Roux, tel. no. (044) 8032700",Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) as Medical Practitioner.,"Permanent Reference No: GRD200/2025 Harry Comay Hospital, George Sub District & Uniondale Hospital, Garden Route District"
Medical Officer Grade 1 to 3 (Obstetrics and Gynaecology),"RHS188/2025 George Regional Hospital, Chief Directorate: Rural Health Services","George Regional Hospital, Chief Directorate: Rural Health Services",1/9/2026,Grade 1: R 1 001 349 per annum; Grade 2: R 1 142 553 per annum; Grade 3: R 1 322 352 per annum A portion of the package can be structured according to the Individual's personal needs,"Clinical service provision: Provide efficient and cost-effective clinical service of high quality with a patient centered focus, addressing the burden of disease in the Rural East Geographical Service area (GSA). Effective clinical administration in maintaining high quality clinical patient records and reports. Financial management by effective and efficient use of resources. Adhere to requirements for all HR matters and Code of Conduct. Participate in the teaching program. Active participation in Research and Professional Development and clinical governance activities in the unit. The desired candidate will be required to set an appropriate example of an exemplary medical practitioner and serve as a role model and clinical mentor to junior doctors and associated clinical staff, supervising and teaching community service medical officers, interns and medical students and liaise with consultants daily.","Dr. HA Swart, tel. no.: (044) 802 - 4616/4437",Appropriate qualification that allows registration with the Health Professional Council of South Africa (HPCSA) as Medical Practitioner.,"Permanent Reference No: RHS188/2025 George Regional Hospital, Chief Directorate: Rural Health Services"
Dental Assistant Grade 1 to 2 (1-year Contract) (Sessional) (3 posts) (5 sessions),GRD199/2025 Garden Route District (Various Institutions),Garden Route District (Various Institutions),1/9/2026,Grade 1: R 143 per hour; Grade 2: R 167 per hour,"Assisting Clinician, maintaining hygienic environment and maintaining infection control. Planning and packing for outside clinics, marathon sessions and outreach sessions. Clinical patient care. Stock control, stocking surgery and maintenance of equipment. Maintain appropriate database of work done. Waste management and practical patient flow management. Responsible for own continuous Professional Development.","Ms S Pienaar, tel. no. (044) 803 - 2703",Appropriate qualification or prescribed in-service training (with duration of less than 2 years) that allows for the required registration with the Health Professions Council of South Africa (HPCSA) as Dental Assistant.,Contract Reference No: GRD199/2025 Garden Route District (Various Institutions)
Staff Nurse Grade 1 to 3 (Theatre and CSSD),"WCD178/2025 Vredenburg Hospital, Saldanha Sub-district","Vredenburg Hospital, Saldanha Sub-district",1/9/2026,"Grade 1: R 220,614 per annum, Grade 2: R 262,287 per annum, Grade 3: R 306,798 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Development and implementation of basic patient care plans. Provide clinical nursing care. Effective utilization of resources. Maintain Professional growth/ ethical standards and self-development.,"Mrs E Lester - Tel, no. (022) 709 7257",Qualification that allows registration with SANC as a Staff Nurse.,"Permanent Reference No: WCD178/2025 Vredenburg Hospital, Saldanha Sub-district"
Medical Officer Grade 1 to 3 (20 sessions p/week) (Contract until 31 March 2027) (10 posts),"GRD202/2025 (Various Institutions) (George Sub-district; Mossel Bay Sub-district; Oudtshoorn Sub-district, NHI Project,","(Various Institutions) (George Sub-district; Mossel Bay Sub-district; Oudtshoorn Sub-district, NHI Project,",1/9/2026,"Grade 1: R 482 per hour, Grade 2: R 550 per hour, Grade 3: R 636 per hour","Provide quality outpatient care to patients in the Garden Route and Central Karoo Districts Primary Healthcare and Hospital facilities. Provide an Outreach and Support service to PHC facilities in the Garden Route and Central Karoo Districts. Actively participate in skills transfer, training, and academic opportunities relevant to the post. Active involvement in the clinical governance of Garden Route and Central Karoo Districts facilities as required. Provide an efficient administration service regarding all clinical and non-clinical matters and medico-legal work. Ensure a cost-efficient service at clinical level with regards to laboratory services, blood, medicine, consumables and equipment.","Ms S Pienaar, tel. no. (044) 803 - 2703",Appropriate qualification that allows registration with the Health Professional Council of South Africa (HPCSA) as Medical Practitioner.,"Contract Reference No: GRD202/2025 (Various Institutions) (George Sub-district; Mossel Bay Sub-district; Oudtshoorn Sub-district, NHI Project,"
Occupational Therapist Grade 1 to 3,"MHS814/2025 Klipfontein / Mitchells Plain Sub-structure Office, Chief Directorate: Metro Health Services","Klipfontein / Mitchells Plain Sub-structure Office, Chief Directorate: Metro Health Services",1/9/2026,"Grade 1: R 397 233 per annum; Grade 2: R 463 941 per annum; Grade 3: R 543 099 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Coordinate & manage OT services for a designated area. People management (Rehab Care Workers, students, volunteers). Liaise and collaborate with stakeholders. Screen, assess and intervene as required and is relevant & appropriate. Link to appropriate levels of care.","Mrs R Hull, tel. no. (021) 370-5019",An appropriate qualification that allows for the required registration with the Health Professions Council of South Africa (HPCSA) as an Occupational Therapist.,"Permanent Reference No: MHS814/2025 Klipfontein / Mitchells Plain Sub-structure Office, Chief Directorate: Metro Health Services"
Occupational Therapist Grade 1 to 3 (PHC Support and Outreach),WCD184/2025 Bergriver Sub-district: West Coast District,Bergriver Sub-district: West Coast District,1/9/2026,"Grade 1: R 397,233 per annum, Grade 2: R 463,941 per annum, Grade 3: R 543,099 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Delivery of optimal outcomes-based intervention to patients in the community according to occupational therapy principles and protocols. Mobility and assistive device services rendered in the community. Facilitation of training for health personnel, clients, their families, volunteers, and inter-departmental personnel. Perform administrative tasks relating to department and skills developmental and training for Occupational Therapist. General support to supervisor and colleagues within the subdistrict.","Ms. ME Ramokgadi, tel. no. (022) 913 3062",An appropriate qualification that allows for the registration with the Health Professional Council of South African (HPCSA) as an Occupational Therapist.,Permanent Reference No: WCD184/2025 Bergriver Sub-district: West Coast District
Administration Clerk: Support (Quality Assurance) (3 posts),GSH350/2025 Groote Schuur Hospital,Groote Schuur Hospital,1/9/2026,"R 228 321 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Providing effective customer care and support to patients and their families. Control and maintain order in patient waiting areas. Perform reception duties and answer queries, including dealing with staff, patients and visitors (telephonic and walk-in). Create and maintain databases for compilation of monthly reports. Type documents, reports and correspondence. Effective records management. Effective use of resources and consumables. Willingness to accept additional duties as assigned by your Supervisor/Manager. Relief and other related duties","Ms T Khan, Tel. no. (021) 404 6441.",Senior Certificate (or equivalent).,Permanent Reference No: GSH350/2025 Groote Schuur Hospital
Administration Clerk: Supply Chain Management (Procurement) (Stores),RHS189/2025 Worcester Regional Hospital,Worcester Regional Hospital,1/9/2026,"R 228 321 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Demand and acquisition (i.e. assist with identifying procurement plan items and ESL). Source quotations: Advertise requests on EPS to source quotations, perform an SCM evaluation of such quotes and guide users on how to evaluate. Generate and place orders with suppliers and maintain filing and complete adjudication of awarded orders on EPS. Prepare documentation for quotation committee meetings. Ensure that all transactions comply with legislative requirements. Handle telephonic and written enquiries from Directorates and Suppliers and perform relief duties within SCM component.","Mr L Jacobs, tel. no. (023) 348-1106",Senior Certificate (or equivalent) with Mathematics and/or Accountancy as passed subject and/or Senior Certificate (or equivalent) with experience/competencies that focuses on the Key Performance Areas (KPA’s) of the post.,Permanent Reference No: RHS189/2025 Worcester Regional Hospital
Administration Clerk: Admissions (Primary Health Care),"CWD204/2025 Breerivier Clinic, Witzenberg-Sub-district","Breerivier Clinic, Witzenberg-Sub-district",1/9/2026,"R 228 321 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Compile headcount daily, weekly, and monthly data. Capturing data and compliments, and complaints on SINJANI. Generate an Appointments list for follow-up clients from Tier.net Folder drawn according to Tier.net appointment list. Folders prepared for the next day (blood results filed/ stickers printed). If a new client facility folder is to be opened, the correct stationery placed in the folder, and stickers are to be printed.","Mr. L Wawini, tel. no. (023) 316-9600",Senior Certificate (or equivalent).,"Permanent Reference No: CWD204/2025 Breerivier Clinic, Witzenberg-Sub-district"
Administration Clerk: Supply Chain Management (Asset Management),"TBH198/2025 Tygerberg Hospital, Parow Valley","Tygerberg Hospital, Parow Valley",1/9/2026,"R 228 321 - R 268 950 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Asset Management. (Maintenance, Register Management, AOS compliance). Asset Verification. Disposal Management. Additions of assets Management. Operational leases Management. Support to supervisor and management.","Ms Vion-Inez Groenewald, Tel (021) 938 4911",Senior Certificate (or equivalent) with Mathematics and/or Accountancy as passed subject or Senior Certificate (or equivalent) with appropriate experience that focuses on the Key Performance Area's (KRA's) of post.,"Permanent Reference No: TBH198/2025 Tygerberg Hospital, Parow Valley"
Child Minder,GSH353/2025 Groote Schuur Hospital,Groote Schuur Hospital,1/9/2026,"R 163 680 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide quality child care to children at the GSH Childcare Centre. Create a safe, stimulated and happy environment for the children. Supervise the children between the ages 0 to 5 years. Provide effective communication within and outside the institution. Report incidents or abnormalities to the relevant manager, parent or guardian. Provide ad hoc classroom cover if and when required. Maintain a clean and healthy environment to prevent infections.","Ms J Stevens, Tel no. (021) 404 6194.",Numeracy and literacy and Child Care Certificate.,Permanent Reference No: GSH353/2025 Groote Schuur Hospital
General Worker Stores (2 posts),"RHS190/2025 Worcester Regional Hospital, Chief Directorate: Rural Health Services","Worcester Regional Hospital, Chief Directorate: Rural Health Services",1/9/2026,"R 138 486 - R 163 131 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Assist with general tasks in the Stores area. Deliver stock and Buy-outs to different departments. Clean the Transito area and delivery area in courtyard. Assist the asset management department. Support to supervisor by adhering to the Code of Conduct.,"Mr S Joubert, tel. no. (023) 348-1174",Basic numeracy and literacy.,"Permanent Reference No: RHS190/2025 Worcester Regional Hospital, Chief Directorate: Rural Health Services"
General Worker Stores,TBH199/2025 Tygerberg Hospital,Tygerberg Hospital,1/9/2026,"R 138 486 per annum - R 163 131 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Pick and deliver issued stock timeously to wards, clinics, theatres and departments in a cost- effective and safe manner. Maintain the audit trail of deliveries Assist with the receiving, issuing and the storage of stock. Clean stores on a regular basis. Assist with stock taking. Any ad-hoc duties.",Mr L. Campher tel. no. (021) 938-5546 or Mr. B. Scholtz tel. no. (021) 938-4631,Basic numeracy and literacy skills.,Permanent Reference No: TBH199/2025 Tygerberg Hospital
Artisan Assistant (2 Posts),WCD182/2025 Bergriver Sub-district and Radie Kotze Hospital: West Coast District,Bergriver Sub-district and Radie Kotze Hospital: West Coast District,1/9/2026,"R 193 359 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide an effective and efficient maintenance and technical support service to the institutions. Maintenance of installations, machinery, equipment as well as the workshop and garden tools. Render a support function in the workshop as well as standby duties. Maintain professional growth / ethical and self-development.","Mr. M. Julius, tel. no. (022) 913 1337",Grade 10 or equivalent.,Permanent Reference No: WCD182/2025 Bergriver Sub-district and Radie Kotze Hospital: West Coast District
Porter,"WCD181/2025 Swartland Hospital, Swartland Sub-District","Swartland Hospital, Swartland Sub-District",1/9/2026,"R 138 486 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Accompany walking patients and safely transport sitting non-walking patients per wheelchair/bed trolley to and from different departments/wards. Render assistance to nursing/medical staff with the transfer of patients to beds/wheelchairs and vice versa. Assist with shifting of medical equipment to and from rooms. Report any defects of trolleys or wheelchairs to supervisor. Respond to requests from wards and departments. Ensure a safe and hygienic work environment as well as collecting and cleaning equipment. Safe transport and storing corpses in mortuary.,Mr. J Timotheus tel. no: 022 – 487 9206,Basic literacy and numeracy skills.,"Permanent Reference No: WCD181/2025 Swartland Hospital, Swartland Sub-District"
Food Services Aid,"WCD183/2025 Swartland Hospital, Swartland Sub-District","Swartland Hospital, Swartland Sub-District",1/9/2026,"R 138 486 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Pre-preparation, cooking, plating, distributing and serving of meals and beverages for the patients in accordance with the PGWC Food Service Policy. Follow standardized PGWC Recipes and Menus. Assist in receipt and storage of all provisions in the foodservice unit. Clean and maintain the kitchen area and maintain equipment and adhere to health and safety regulations. Communicate with role-players and food service staff and give feedback regarding problems and recommendations to the Foodservice supervisor/manager. Render support to supervisor. Dress according to Departmental specifications and adhere to Hospital PGWC policy.",Ms. A van Breda tel. no: 022 – 487 9223,Basic numeracy and literacy skills.,"Permanent Reference No: WCD183/2025 Swartland Hospital, Swartland Sub-District"
System Administrator,"HO208/2025 Head Office, Cape Town; Directorate: People Development","Head Office, Cape Town; Directorate: People Development",1/9/2026,"R 325 101 per annum - R 382 959 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Responsible to ensure that various systems integrity is monitored and access training is provided to users. Engage with various role players to ensure that individual system requirements are administered. Collaborate with management to identify and define the strategies, policies and procedures at various platforms. Monitor and evaluate system implementation of new content to achieve online training objectives. Engage and collaborate with subject matter experts to ensure departmental objectives are met. Manage uploaded content to ensure NO departmental values are transgressed and monitored. Responsible for help desk support for all People Development system related queries. Report quarterly user activities and challenges to management. Monitor and report course participation and completion. Maintain the Learning Management System. Manage facilitators and content creators.","Mr W Peters, tel.no. (021) 483-3785",An appropriate Diploma/Degree qualification [NQF level 6 or higher].,"Permanent Reference No: HO208/2025 Head Office, Cape Town; Directorate: People Development"
Food Services Aid,"CKD77/2025 Prince Albert Hospital, Central Karoo District","Prince Albert Hospital, Central Karoo District",1/9/2026,"R 138 486 per annum - R 163 131 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provision of food services, including pre-preparation & preparation of normal and special diets as well as dishing up and distribution of the meals. Assist with the receiving and storage of perishables and groceries. Implement and control hygienic environment according to occupational health and safety prescripts including infection control. Assist with the maintenance of appliances and equipment. Assist with the informal in-service training of new employees in the unit.","Ms L Martins, tel. no. (023) 814 - 2994",Basic literacy and numeracy skills.,"Permanent Reference No: CKD77/2025 Prince Albert Hospital, Central Karoo District"
Assistant Director: Human Resources Administration (Personnel Practices),"ECSS137/2025 Emergency Medical Services, People Management","Emergency Medical Services, People Management",1/9/2026,"R 468 459 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Responsible for the effective management of the APL (including the APL budget), HR Planning and Job Evaluation processes, Establishment Control, Recruitment, Selection, Transfer and appointment of staff within the Compensation management prescripts. Responsible for the effective management of the Staff Performance Management System and Job Descriptions in EMS. Conduct training to staff and line mangers and provide support and guidance within the scope of the above profile. Responsible for the investigation of grievances/disputes linked to recruitment and selection and performance management processes. Serve as nodal point for maintaining and reporting on integrated HR Information (within the scope of profile) to stakeholders. Effective management and development of sub ordinates and co-ordinate an equitable workflow.","Ms L Meter, tel. no. (021) 948 9374 or Liesl.Meter@westerncape.gov.za",Appropriate 3-year National Diploma\Degree or equivalent NQF6 qualification in the Human Resource related field.,"Permanent Reference No: ECSS137/2025 Emergency Medical Services, People Management"
Clinical Nurse Practitioner Grade 1 to 2 (Primary Health Care),CWD206/2025 Devonvalley Mobile,Devonvalley Mobile,1/9/2026,"Grade 1: R 476,367 per annum, Grade 2: R 583,989 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Assist with the management of the burden of disease in accordance with the guidelines and protocols of the western cape. Provide and maintain quality of care of all patients and health services. Maintain accurate clinical records, statistics registers, and referral records. Effective utilization of Resources/Stock within the limited budget constraints. Participation in Community events and initiating awareness with regards to health-related issues. Maintain and participate in inter-professional and multi-disciplinary teamwork but able to work independently. Supervise and mentor lower categories of staff. Maintain professional growth/ethical standards and self-development.","Ms. MM Muller, tel. no. (021) 808-6109","Basic R425 qualification (i.e., diploma/degree in nursing) or equivalent qualification that allows registration with the South African Nursing Council as Professional Nurse and Midwife. Post-basic qualification, with duration of at least 1-year, in Curative Skills in Clinical Nursing Science: Health Assessment, Treatment and Care accredited with the SANC (R48).",Permanent Reference No: CWD206/2025 Devonvalley Mobile
Senior Administrative Officer: Information Management,ECSS136/2025 Forensic Pathology Service,Forensic Pathology Service,1/9/2026,"R 397 116 per annum - R 467 790 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Effective Information Management. Effective Training and Development. Effective and Efficient Management Support. Effective and efficient End User Support. Effective Management of Component.,Mr. MJ Vismer (Michael.Vismer@westerncape.gov.za).,Diploma/ Degree in Information Systems or relevant qualification.,Permanent Reference No: ECSS136/2025 Forensic Pathology Service
Administrative Officer: Finance/ Admin,TBH197/2025 Tygerberg Hospital,Tygerberg Hospital,1/9/2026,"R 325 101 per annum - R 382 959 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Clinical auditing of patient accounts in compliance with the Uniform Patient Fees Structure and relevant financial prescripts. Ensure that all prosthesis, high-cost consumables and high-cost pharmaceuticals are charged timeously. Complete prosthesis/high cost consumable forms when necessary for billing purposes. Provide estimations and interact with clinical personnel with regards to clinical procedures. Handle queries including 3rd party queries. Ensure accurate interpretation and implementation of policy, protocols and hospital procedures in respect of H2, H3 and Private patients (externally funded patients). Assist Case Manager with clinical updates, assign ICD10 codes, obtain authorisation and liaise with the Medical Schemes. Query codes as needed to obtain clarification of charted documentation to accurately assign ICD10 codes Actively participates in training of ICD10 coders. Ensure compliance of coding rules and regulations. Compile and submit statistics on a weekly/monthly basis. Work as a team to meet departmental goals.","Ms J Jooste, tel. no. (021) 938-4140",Senior Certificate (or equivalent) with Mathematics and/or Accountancy as a passed subject and/or Senior Certificate (or equivalent) with appropriate experience/competencies that focuses on the Key Performance Areas (KPA's) of the post.,Permanent Reference No: TBH197/2025 Tygerberg Hospital
Principal Personnel Officer (Employee Benefits and Policies & Practices),"ECSS139/2025 People Management: Employee Benefits and Policies & Practices, Chief Directorate: Emergency and Clinical Services Support","People Management: Employee Benefits and Policies & Practices, Chief Directorate: Emergency and Clinical Services Support",1/9/2026,"R 325 101 - R 382 959 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Effective management of the Benefit Administration section and Policies & Practices. Effective supervision and development of staff. Render an efficient and effective support and advisory service to personnel functionaries at institutions and management of audit investigations and ensure compliance. Provide an effective support function to supervisor.,"Mrs. FG Malan, Tel: (021) 815 8837",Senior Certificate or equivalent.,"Permanent Reference No: ECSS139/2025 People Management: Employee Benefits and Policies & Practices, Chief Directorate: Emergency and Clinical Services Support"
Senior Administrative Officer: Finance,"ECSS138/2025 Office of the Chief Director,","Office of the Chief Director,",1/9/2026,"R 397 116 - R 467 790 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Effective and efficient support to the ASD to manage the Budgetary Function Equitable Share, Conditional Grants and Donor Funding. Effective support to the management of the accounting function Budget and expenditure against the applicable expenditure Equitable Share, Conditional Grants and Donor Funds. In-Year Monitoring and Reporting for Conditional Grants. Monitoring and Evaluation. Effective and efficient support to the ASD in the Internal Control function within the Equitable Share, Conditional Grants & Donor funding. Effective support to the ASD in the management of Human Resources in the component.","Mr A. Beukes, Tel no. 021 830 3732",Appropriate 3-year National diploma or degree.,"Permanent Reference No: ECSS138/2025 Office of the Chief Director,"
Industrial Technician Production (Electrical),"HO210/2025 Head Office, Cape Town","Head Office, Cape Town",1/9/2026,"R 325 101 per annum - R 382 959 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Assist the Engineering component with technical activities in line with statutory and regulatory requirements. Produce technical designs with specifications. Assist the Engineering component to maintain a maintenance strategy through the provision of appropriate structures, maintenance standards, specifications and contract- and project management. Maintain the system to collect credible data on the use of utilities by Health facilities. Assist to control, monitor and report on all resources to ensure sound risk practices. Provide management information into the operations of the professional services component. Liaising with clients, stake holders and relevant councils.","Mr C Badenhorst, tel.no. (021) 830-3757","National Diploma in Engineering (Electrical), or registration as Engineering Technician in terms of section 14(1) or 14(2) of the Engineering Profession of South Africa Act, 1990.","Permanent Reference No: HO210/2025 Head Office, Cape Town"
Deputy Director: Rural Hub Technical Services,"HO209/2025 Head Office, Cape Town","Head Office, Cape Town",1/9/2026,R 896 436 per annum - R 1 055 958 per annum A portion of the package can be structured according to the individual's personal needs.,"Management and provision of an effective, efficient, and affordable Hospital Engineering Services Monitor and evaluate maintenance projects according to the strategy, plans, and provide feedback to all stakeholders. Perform inspections and provide transversal technical guidance and advice to Health Facilities within the Province. Implementation of projects and direct technical support to facilities. Finance and Supply Chain Management. People Management.","Ms K Du Toit, email: Karien.DuToit@westerncape.gov.za",An appropriate National Diploma in Engineering (Mechanical /Electrical) or equivalent relevant qualification.,"Permanent Reference No: HO209/2025 Head Office, Cape Town"
Administrative Officer: Supply Chain Management,"ECSS142/2025 Emergency Medical Services, premises of Tygerberg Hospital, Chief Directorate: Emergency and Clinical Support Services","Emergency Medical Services, premises of Tygerberg Hospital, Chief Directorate: Emergency and Clinical Support Services",1/9/2026,"R 325 101 per annum - R 382 959 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Manage the warehouse section. Ensure proper demand planning for inventory. Responsible for relevant monthly and quarterly reporting. Manage IFS and AFS stocktake process. Maintaining procurement plan and issuance databases. Acquisition management of goods and service through EPS, transversal contracts and other means as prescribed in the AOS and SCM delegations. Responsible for system approvals as per delegations. Manage the effective implementation of processes to prevent late payment. Proper record keeping relevant to warehouse section. Assist in other components within Supply Chain Management.",Selica Overmeyer Tel No: 021 830 1160,Senior Certificate with Mathematics and/or Accountancy as a passed subject and/or Senior Certificate with experience/competencies that focus on the Key Performance Areas (KPA’s) of the post.,"Permanent Reference No: ECSS142/2025 Emergency Medical Services, premises of Tygerberg Hospital, Chief Directorate: Emergency and Clinical Support Services"
Primary Health Care Manager,"OD105/2025 Overstrand Sub-District, Hermanus; Overberg District","Overstrand Sub-District, Hermanus; Overberg District",1/9/2026,R 1 059 105 per annum - R 1 247 574 per annum A portion of the package can be structured according to the individual's personal needs.,Operational and strategic management of Primary Health Care services for the sub-district. Manage critical support services. Adequate financial planning and control. HR planning and management. Liaison and interaction with micro/specific and macro/general environment-Networking.,"Dr F Fourie, tel. no. (028) 312-1166","Appropriate 4-year Health related National Diploma/Degree or equivalent, registrable with a South African Statutory Health Professions Council or South African Nursing Council.","Permanent Reference No: OD105/2025 Overstrand Sub-District, Hermanus; Overberg District"
Tradesman Aid (2 posts),"MHS836/2025 Khayelitsha District Hospital, Khayelitsha/Eastern Sub-structure, Chief Directorate: Metro Health Services","Khayelitsha District Hospital, Khayelitsha/Eastern Sub-structure, Chief Directorate: Metro Health Services",1/9/2026,"R 163 680 - R 192 810 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Delivery, collection and transportation of items and equipment and other facilities. Assist with day-to-day repairs, installations, alterations and daily maintenance checks including emergency work. Assist with refurbishment and restoration of furniture. Cleaning of workshops, plant rooms, control tools, materials and equipment.",Mr. Z Mtshatsheni. Tel no. (021) 360 4635,,"Permanent Reference No: MHS836/2025 Khayelitsha District Hospital, Khayelitsha/Eastern Sub-structure, Chief Directorate: Metro Health Services"
Psychologist Grade 1 to 3,MHS778/2025 Khayelitsha Eastern Sub-structure; Chief Directorate: Metro Health Services,Khayelitsha Eastern Sub-structure; Chief Directorate: Metro Health Services,1/9/2026,Grade 1: R 872 709 per annum; Grade 2: R 1 014 705 per annum; Grade 3: R 1 174 848 per annum A portion of the package can be structured according to the individual's personal needs.,"Ensure that mental health services include treatment, prevention, promotion and protection of mental health care users and other vulnerable groups through relevant intervention programs and strategies. Ensure that quality mental health services are provided according to professional standards and ethical principles. Establish Referral pathways and coordination with all stakeholders. Include Suicide and Substance use disorders prevention. Inter-sectoral and inter-disciplinary collaboration and coordination. Provide supervision, mentoring and support to lay health workers and Registered Counsellors, as part the sub district and district mental health teams.",Dr T Cyster (021) 360 4622,Appropriate qualification that allows registration as a Clinical Psychologist with the Health Professions Council of South Africa (HPCSA).,Permanent Reference No: MHS778/2025 Khayelitsha Eastern Sub-structure; Chief Directorate: Metro Health Services
